"language","text"
"English","I WILL NOT"
"English","Drink more than fourteen alcohol units a week."
"English","Waste money on: pasta-makers, ice-cream machines or other culinary devices which will never use; books by unreadable literary authors to put impressively on shelves; exotic underwear, since pointless as have no boyfriend."
"English","Behave sluttishly around the house, but instead imagine others are watching."
"English","Spend more than earn."
"English","Allow in-tray to rage out of control."
"English","Fall for any of following: alcoholics, workaholics, commitment phobics, people with girlfriends or wives, misogynists, megalomaniacs, chauvinists, emotional fuckwits or freeloaders, perverts."
"English","Get annoyed with Mum, Una Alconbury or Perpetua."
"English","Get upset over men, but instead be poised and cool ice-queen."
"English","Have crushes on men, but instead form relationships based on mature assessment of character."
"English","Bitch about anyone behind their backs, but be positive about everyone."
"English","Obsess about Daniel Cleaver as pathetic to have a crush on boss in manner of Miss Moneypenny or similar."
"English","Sulk about having no boyfriend, but develop inner poise and authority and sense of self as woman of substance, complete without boyfriend, as best way to obtain boyfriend."
"English","Drink no more than fourteen alcohol units a week."
"English","Reduce circumference of thighs by 3 inches (i.e."
"English","inches each), using anti-cellulite diet."
"English","Purge flat of all extraneous matter"
"English","Give all clothes which have not worn for two years or more to homeless."
"English","Improve career and find new job with potential."
"English","Save up money in form of savings."
"English","Make better use of time."
"English","Not go out every night but stay in and read books and listen to classical music."
"English","Give proportion of earnings to charity."
"English","Be kinder and help others more."
"English","Get up straight away when wake up m mornings."
"English","Go to gym three times a week not merely to buy sandwich."
"English","Put photographs in photograph albums."
"English","Form functional relationship with responsible adult."
"English","Learn to programme video."
"English","An Exceptionally Bad Start"
"English","Sunday 1 January"
"English","Food consumed today:"
"English","2 pkts Emmenthal cheese slices"
"English","14 cold new potatoes"
"English","2 Bloody Marys (count as food as contain Worcester sauce and tomatoes)"
"English","1/3 Ciabatta loaf with Brie"
"English","Coriander leaves 1/2 packet"
"English","12 Milk Tray (best to get rid of all Christmas confectionery in one go and make fresh start tomorrow)"
"English","13 cocktail sticks securing cheese and pineapple"
"English","My mother rang up at 8.30 in the morning last August Bank Holiday and forced me to promise to go."
"English","She approached it via a cunningly circuitous route."
"English","Just a little compact case with a pull-out handle."
"English","Exhausted, I held the phone away from my ear, puzzling about where the missionary luggage-Christmas-gift zeal had stemmed from."
"English","in actual fact, you can get them with a compartment with bottles for your bubble bath and things."
"English","I said desperately, blinking in the dazzling Bank Holiday sunlight."
"English","You can drive up after work."
"English","Oh, did I mention?"
"English","Malcolm and Elaine Darcy are coming and bringing Mark with them."
"English","Do you remember Mark, darling?"
"English","Not another strangely dressed opera freak with bushy hair burgeoning from a side-parting."
"English","Una and Geoffrey have been holding the New Year Buffet since you were running round the lawn with no clothes on!"
"English","First day of New Year has been day of horror."
"English","It is too humiliating at my age."
"English","Having skulked at home all day, hoping hangover would clear, I eventually gave up and set off for the Turkey Curry Buffet far too late."
"English","I was also suffering from road-rage residue after inadvertently getting on to the M6 instead of the M1 and having to drive halfway to Birmingham before I could find anywhere to turn round."
