"language","text"
"Russian","Я постараюсь не"
"Russian","Пить более 14 алкогольных напитков в день."
"Russian","Тратить деньги на: кухонные комбайны для изготовления макарон, мороженного и другие прибамбасы, которыми никогда не пользуюсь; книги нечитабельных авторов, чьи тома выглядят внушительно на книжных полках; экзотическое нижнее белье, т.к."
"Russian","нет смысла, раз у меня нет друга-мужчины."
"Russian","Создавать дома бардак, наоборот буду представлять себе, что за мной все время наблюдают."
"Russian","Тратить больше чем зарабатываю."
"Russian","Позволять содержимому почтового ящика выходить из-под контроля."
"Russian","Влюбляться в мужчин следующих категорий: алкоголиков, работоголиков, социальных импотентов, мужчин с женами или подругами, женоненавитников, мегаломанов, шовинистов, затрахивателей мозгов, альфонсов или извращенцев."
"Russian","Раздражаться из-за мамы, Уны Алконберри или Перпетуи."
"Russian","Расстраиваться из-за мужчин, наоборот буду уравновешенной и холодной Снежной Королевой."
"Russian","Влюбляться в мужчин с первого взгляда, наоборот, буду заводить близкие отношения, основываясь на трезвой оценке характера."
"Russian","Сплетничать за глаза о ком бы то ни было, наоборот буду думать обо всех положительно."
"Russian","Вздыхать по Даниелу Кливеру, т.к."
"Russian","позор, что умудрилась втюриться в собственного шефа."
"Russian","Дуться оттого, что у меня нет друга-мужчины, наоборот, буду развивать самообладание, сознание собственной значимости и умение чувствовать себя женщиной глубокой, полноценной и без мужчины, т.к."
"Russian","это лучший способ заполучить мужчину."
"Russian","Пить не более 14 алкогольных напитков в день."
"Russian","При помощи антиселльюлоидной диеты уменьшить окружность ляжек на 3 дюйма, (т.е."
"Russian","на 1 дюйм каждую)."
"Russian","Очистить квартиру от всякого хлама."
"Russian","Отдать бомжам все шмотки, которые уже года два-три как не ношу."
"Russian","Устроиться на перспективную должность и сделать карьеру."
"Russian","Копить и накопить деньги."
"Russian","также начать делать взносы в пенсионный фонд."
"Russian","Быть уверенней в себе."
"Russian","Лучше использовать время."
"Russian","Не тусоваться с ребятами каждый вечер, а сидеть дома, читать книги и слушать классическую музыку."
"Russian","Отдавать часть заработка благотворительным фондам."
"Russian","Быть добрее и больше помогать другим."
"Russian","Есть больше клетчатки."
"Russian","По утрам, подниматься с кровати сразу, как проснусь."
"Russian","Три раза в неделю ходить в тренировочный зал."
"Russian","И не только за бутербродом."
"Russian","Засовывать карточки в фотоальбомы."
"Russian","Создать сборники кассет ""на все случаи жизни"", чтобы в зависимости от настроения иметь возможность по порядку прослушать все любимые романтические/танцевальные/ возбуждающие/феминистские и т.д."
"Russian","мелодии, а не превращаться в опупевшего диск-жокея, с кучей кассет, разбросанных по всему полу."
"Russian","Создать налаженные близкие отношения с ответственным взрослым человеком."
"Russian","Научиться программировать видеомагнитофон."
"Russian","Январь - Исключительно плохое начало"
"Russian","Порцию Карри из Индюшки, с фасолью и бананами, приготовленную Уной Алконберри"
"Russian","Порцию ""Земляничного Сюрприза"", приготовленного Уной Алконберри из бисквитов с"
"Russian","бурбоном, земляничных консервов, восьми галлонов взбитых сливок и украшенного глазированными вишнями и дудником."
"Russian","Лондон: моя квартирка."
"Russian","Меньше всего на свете чувствую себя физически, эмоционально и умственно настроенной тащиться в Графтон Андервуд к Уне и Джеффри Алконберри на новогодний фуршет с Карри из Индюшки."
"Russian","Джеффри и Уна Алконберри - это ближайшие друзья моих родителей и, как вечно напоминает мне дядя Джеффри, знают меня аж с тех пор, как я голышом носилась по их газону."
"Russian","Прошлым августом, в банковские выходные, в 8:30 утра ко мне позвонила мама и взяла с меня слово, что я приеду."
"Russian","Она затронула эту тему осторожно и как бы невзначай:"
"Russian","Просто звоню узнать, что ты хочешь в подарок на Рождество?"
"Russian","Знаешь, как у стюардесс?"
"Russian","Ты с ним похожа на разорившуюся Мери Поппинс."
"Russian","Такой маленький, компактный чемоданчик с выдвижной ручкой."
"Russian","Просто удивительно, сколько в него можно запихнуть."
"Russian","Ты хочешь темно синий на красном или красный на темно синем?"
"Russian","Сейчас пол-девятого утра."
"Russian","На дворе лето."
"Russian","Не нужен мне чемодан, как у стюардесс."
"Russian","Она говорит, что только им и пользуется."
"Russian","Дочка Мевис Эндерби."
"Russian","У нее еще эта распрекрасная работа в ""Артуре Андерсене""4..."
"Russian","Джейми, папа и я сложимся и купим тебе хороший новый, большой чемодан и к нему - комплект колесиков."
