lan_code,sentence
rus,Один раз в жизни я делаю хорошее дело... И оно бесполезно.
rus,Давайте что-нибудь попробуем!
rus,Мне пора идти спать.
rus,Что ты делаешь?
rus,Что это?
rus,"Сегодня 18 июня, и это день рождения Мюриэл!"
rus,"С днём рождения, Мюриэл!"
rus,Мюриэл сейчас 20.
rus,Пароль «Muiriel».
rus,У меня нет слов.
rus,"Не знаю, что и сказать."
rus,Это был злой кролик.
rus,Это новая фотография?
rus,"Я не знаю, будет ли у меня время."
rus,Микрофон по какой-то причине до этого не работал.
rus,"Каждый, в итоге, должен учиться сам."
rus,Учиться нельзя заставлять. Учёбу нужно поощрять.
rus,"Нелегко решать, что правильно, а что нет, но приходится это делать."
rus,Это ничего не изменит.
rus,Я зарабатываю сто евро в день.
rus,"Я, может, скоро сдамся и вместо этого пойду вздремну."
rus,Этого не случится.
rus,Иногда он очень странен.
rus,Я постараюсь не мешать тебе учиться.
rus,"Я могу только догадываться, так ли это и для всех остальных."
rus,"Я полагаю, это будет выглядеть несколько иначе, когда ты подумаешь об этом в долгосрочном плане."
rus,Не беспокойся.
rus,Я скучаю по тебе.
rus,"Я позвоню им завтра, когда вернусь домой."
rus,Мне всегда больше нравились таинственные персонажи.
rus,Тебе лучше поспать.
rus,Я пойду.
rus,Я сказал им послать мне ещё один билет.
rus,У тебя не хватает терпения на меня.
rus,Я так жить не могу.
rus,Когда-то я хотел быть астрофизиком.
rus,Я никогда не любил биологию.
rus,"Последний человек, которому я рассказал свою идею, решил, что я сумасшедший."
rus,"Если бы мир не был таким, каков он сейчас, я мог бы доверять людям."
rus,"К сожалению, это правда."
rus,"Они слишком заняты склоками друг с другом, чтобы думать об общих идеалах."
rus,"Большинство людей думает, что я сумасшедший."
rus,"Нет, не я, а ты!"
rus,Это мой ответ!
rus,Он меня пинает!
rus,Ты уверен?
rus,Тогда это проблема...
rus,"О, здесь бабочка!"
rus,Это не удивительно.
rus,Если бы я мог быть таким...
rus,Почему-то по ночам я бодрее.
rus,Это зависит от контекста.
rus,Ты шутишь?
rus,"Это самая глупая вещь, которую я когда-либо говорил."
rus,"Я не хочу быть жалким, я хочу быть крутым!!"
rus,"Когда я вырасту, я хочу стать королём."
rus,"Америка - это очень милое место, если вы находитесь здесь с целью заработать деньги."
rus,Я такой жирный.
rus,Так что?
rus,Я пристрелю его.
rus,Я не настоящая рыба; я всего лишь плюшевая игрушка.
rus,Я всего лишь говорю!
rus,"Скорее всего, это и повлияло на их решение."
rus,"Мне всегда было интересно, как это - иметь братьев и сестер."
rus,Я бы так и сказал.
rus,"Мне потребуется вечность, чтобы всё объяснить."
rus,"Это потому, что ты девушка."
rus,Иногда я не могу сдержать эмоций.
rus,"Это и есть то слово, для которого я хотел бы найти замену."
rus,"Это было что-то, что я должен был запрограммировать."
rus,Я не хочу быть эгоистичным.
rus,"Давай подумаем, что может произойти в худшем случае."
rus,Сколько у тебя близких друзей?
rus,"Быть может, я и асоциален, но это не значит, что я не общаюсь с людьми."
rus,Так оно и есть.
rus,"Думаю, лучше вести себя воспитанно."
rus,Время всегда можно найти.
rus,"Быть может, я несчастлив, но я не собираюсь убивать себя."
rus,"Когда я учился в средней школе, я вставал в 6:00 каждое утро."
rus,"Когда я проснулся, мне было грустно."
rus,"Это то, что раскрывается под конец."
rus,"Я думал, ты любишь изучать новые вещи."
rus,Многие люди пишут о своей обыденной жизни.
rus,"Если бы я мог послать тебе зефир, Чанг, я сделал бы это."
rus,"Ты должен рискнуть, чтобы сделать это."
rus,Каждый одинокий человек одинок из-за страха перед окружающими.
rus,Почему ты спрашиваешь?
rus,Я не художник. Я совсем не гожусь для этого.
rus,Я не могу сказать ей это сейчас. Это уже не так просто.
rus,"Я человек с недостатками, но это недостатки, которые могут быть легко устранены."
rus,"Всегда, когда я нахожу что-либо, что мне нравится, это слишком дорого."
rus,Сколько ты там пробыл?
